Actual,RNN_Prediction,LSTM_Prediction,RNN_Residual,LSTM_Residual
29918.412109375004,29297.67,28867.682,620.7421875000036,1050.7304687500036
29993.896484375004,29904.352,29228.535,89.54492187500364,765.3613281250036
33086.234375,30085.055,29532.348,3001.1796875,3553.88671875
33901.52734375,31692.291,30267.906,2209.236328125,3633.62109375
34502.8203125,33533.31,31211.791,969.51171875,3291.029296875
34156.6484375,34482.953,32169.248,-326.3046875,1987.400390625
33909.80078125,34468.816,32848.332,-559.015625,1061.46875
34089.57421875,34202.14,33190.594,-112.56640625,898.98046875
34538.48046875,34426.68,33320.0,111.80078125,1218.48046875
34502.36328125,34441.438,33407.42,60.92578125,1094.94140625
34667.78125,34649.445,33458.594,18.3359375,1209.1875
35437.25390625,34976.734,33509.8,460.51953125,1927.453125
34938.2421875,35526.234,33684.03,-587.9921875,1254.2109375
34732.32421875,35368.96,33798.53,-636.63671875,933.79296875
35082.1953125,35025.555,33817.945,56.640625,1264.25
35049.35546875,35221.305,33843.723,-171.94921875,1205.6328125
35037.37109375,35294.324,33863.957,-256.953125,1173.4140625
35443.5625,35392.086,33875.508,51.4765625,1568.0546875
35655.27734375,35508.0,33950.22,147.27734375,1705.05859375
36693.125,35832.67,34078.383,860.453125,2614.7421875
37313.96875,36510.71,34384.65,803.2578125,2929.3203125
37138.05078125,37186.707,34836.406,-48.65625,2301.64453125
37054.51953125,37417.93,35223.277,-363.41015625,1831.2421875
36502.35546875,37414.254,35470.65,-911.8984375,1031.70703125
35537.640625,37042.863,35491.953,-1505.22265625,45.6875
37880.58203125,36144.434,35224.285,1736.1484375,2656.296875
36154.76953125,36882.94,35291.816,-728.171875,862.953125
36596.68359375,37011.098,35224.527,-414.4140625,1372.15625
36585.703125,36777.246,35171.293,-191.54296875,1414.41015625
37386.546875,36930.004,35135.117,456.54296875,2251.4296875
37476.95703125,37106.85,35252.566,370.10546875,2224.390625
35813.8125,37723.93,35448.14,-1910.1171875,365.671875
37432.33984375,36485.746,35335.965,946.59375,2096.375
37289.62109375,36966.81,35374.164,322.8125,1915.45703125
37720.28125,37664.973,35463.79,55.30859375,2256.4921875
37796.79296875,37898.676,35638.37,-101.8828125,2158.421875
37479.12109375,38012.83,35829.617,-533.70703125,1649.50390625
37254.16796875,37641.89,35926.938,-387.72265625,1327.23046875
37831.0859375,37910.516,35914.855,-79.4296875,1916.23046875
37858.4921875,37767.227,35953.297,91.265625,1905.1953125
37712.74609375,37859.816,36018.414,-147.0703125,1694.33203125
38688.75,37872.29,36057.332,816.4609375,2631.41796875
39476.33203125,38585.145,36247.598,891.1875,3228.734375
39978.390625,39111.473,36617.266,866.91796875,3361.125
41980.09765625,39816.727,37088.906,2163.37109375,4891.19140625
44080.6484375,41162.85,37867.723,2917.796875,6212.92578125
43746.4453125,42857.965,39015.633,888.48046875,4730.8125
43292.6640625,43870.023,40031.86,-577.359375,3260.8046875
44166.6015625,43574.754,40660.586,591.84765625,3506.015625
43725.984375,43724.426,41120.89,1.55859375,2605.09375
43779.69921875,43887.387,41318.87,-107.6875,2460.828125
41243.83203125,43680.18,41356.055,-2436.34765625,-112.22265625
41450.22265625,42512.297,40849.2,-1062.07421875,601.0234375
42890.7421875,41521.184,40214.71,1369.55859375,2676.03125
43023.97265625,42667.508,39927.71,356.46484375,3096.26171875
41929.7578125,42780.93,39915.17,-851.171875,2014.5859375
42240.1171875,42280.258,39841.457,-40.140625,2398.66015625
41364.6640625,42200.914,39796.434,-836.25,1568.23046875
42623.5390625,42053.97,39614.504,569.5703125,3009.03515625
42270.52734375,42471.43,39627.7,-200.90234375,2642.828125
43652.25,42178.41,39678.98,1473.83984375,3973.26953125
43869.15234375,42921.516,39986.16,947.63671875,3882.9921875
43997.90234375,43722.1,40397.164,275.80078125,3600.73828125
43739.54296875,43951.73,40789.47,-212.1875,2950.07421875
